//Loading PDBs.
//PDB loading of cell: SRAMNSA_1
//Making the stats.
GID                       totalC    totalCC    ratioCC     Cell    Layout   Source
1                        8.45e-15   2.49e-17   2.95e-03    SRAMNSA_1  VSS   VSS  
2                        2.38e-16   2.92e-19   1.22e-03    SRAMNSA_1  BL<15>  BL<15>  
3                        4.04e-15   1.80e-17   4.46e-03    SRAMNSA_1  VDD   VDD  
4                        3.36e-16   6.34e-19   1.89e-03    SRAMNSA_1  BLN<15>  BLN<15>  
5                        2.41e-16   2.92e-19   1.21e-03    SRAMNSA_1  BL<14>  BL<14>  
6                        3.36e-16   6.34e-19   1.89e-03    SRAMNSA_1  BLN<14>  BLN<14>  
7                        2.41e-16   2.92e-19   1.21e-03    SRAMNSA_1  BL<13>  BL<13>  
8                        3.36e-16   6.34e-19   1.89e-03    SRAMNSA_1  BLN<13>  BLN<13>  
9                        2.41e-16   2.92e-19   1.21e-03    SRAMNSA_1  BL<12>  BL<12>  
10                       3.36e-16   6.34e-19   1.89e-03    SRAMNSA_1  BLN<12>  BLN<12>  
11                       4.89e-18   7.62e-19   1.56e-01    SRAMNSA_1  BL_S<15>  BL_S<15>  
12                       4.90e-18   7.62e-19   1.55e-01    SRAMNSA_1  BL_S<14>  BL_S<14>  
13                       4.90e-18   7.62e-19   1.55e-01    SRAMNSA_1  BL_S<13>  BL_S<13>  
14                       4.90e-18   7.62e-19   1.55e-01    SRAMNSA_1  BL_S<12>  BL_S<12>  
15                       4.83e-18   6.34e-19   1.31e-01    SRAMNSA_1  BLN_S<15>  BLN_S<15>  
16                       4.83e-18   6.34e-19   1.31e-01    SRAMNSA_1  BLN_S<14>  BLN_S<14>  
17                       4.83e-18   6.34e-19   1.31e-01    SRAMNSA_1  BLN_S<13>  BLN_S<13>  
18                       4.83e-18   6.34e-19   1.31e-01    SRAMNSA_1  BLN_S<12>  BLN_S<12>  
19                       2.41e-16   2.92e-19   1.21e-03    SRAMNSA_1  BL<11>  BL<11>  
20                       3.36e-16   6.34e-19   1.89e-03    SRAMNSA_1  BLN<11>  BLN<11>  
21                       2.41e-16   2.92e-19   1.21e-03    SRAMNSA_1  BL<10>  BL<10>  
22                       3.36e-16   6.34e-19   1.89e-03    SRAMNSA_1  BLN<10>  BLN<10>  
23                       2.41e-16   2.92e-19   1.21e-03    SRAMNSA_1  BL<9>  BL<9>  
24                       3.36e-16   6.34e-19   1.89e-03    SRAMNSA_1  BLN<9>  BLN<9>  
25                       2.41e-16   2.92e-19   1.21e-03    SRAMNSA_1  BL<8>  BL<8>  
26                       3.36e-16   6.34e-19   1.89e-03    SRAMNSA_1  BLN<8>  BLN<8>  
27                       4.90e-18   7.62e-19   1.55e-01    SRAMNSA_1  BL_S<11>  BL_S<11>  
28                       4.90e-18   7.62e-19   1.55e-01    SRAMNSA_1  BL_S<10>  BL_S<10>  
29                       4.90e-18   7.62e-19   1.55e-01    SRAMNSA_1  BL_S<9>  BL_S<9>  
30                       4.90e-18   7.62e-19   1.55e-01    SRAMNSA_1  BL_S<8>  BL_S<8>  
31                       4.83e-18   6.34e-19   1.31e-01    SRAMNSA_1  BLN_S<11>  BLN_S<11>  
32                       4.83e-18   6.34e-19   1.31e-01    SRAMNSA_1  BLN_S<10>  BLN_S<10>  
33                       4.83e-18   6.34e-19   1.31e-01    SRAMNSA_1  BLN_S<9>  BLN_S<9>  
34                       4.83e-18   6.34e-19   1.31e-01    SRAMNSA_1  BLN_S<8>  BLN_S<8>  
35                       2.41e-16   2.92e-19   1.21e-03    SRAMNSA_1  BL<7>  BL<7>  
36                       3.36e-16   6.34e-19   1.89e-03    SRAMNSA_1  BLN<7>  BLN<7>  
37                       2.41e-16   2.92e-19   1.21e-03    SRAMNSA_1  BL<6>  BL<6>  
38                       3.36e-16   6.34e-19   1.89e-03    SRAMNSA_1  BLN<6>  BLN<6>  
39                       2.41e-16   2.92e-19   1.21e-03    SRAMNSA_1  BL<5>  BL<5>  
40                       3.36e-16   6.34e-19   1.89e-03    SRAMNSA_1  BLN<5>  BLN<5>  
41                       2.41e-16   2.92e-19   1.21e-03    SRAMNSA_1  BL<4>  BL<4>  
42                       3.36e-16   6.34e-19   1.89e-03    SRAMNSA_1  BLN<4>  BLN<4>  
43                       4.90e-18   7.62e-19   1.55e-01    SRAMNSA_1  BL_S<7>  BL_S<7>  
44                       4.90e-18   7.62e-19   1.55e-01    SRAMNSA_1  BL_S<6>  BL_S<6>  
45                       4.90e-18   7.62e-19   1.55e-01    SRAMNSA_1  BL_S<5>  BL_S<5>  
46                       4.90e-18   7.62e-19   1.55e-01    SRAMNSA_1  BL_S<4>  BL_S<4>  
47                       4.83e-18   6.34e-19   1.31e-01    SRAMNSA_1  BLN_S<7>  BLN_S<7>  
48                       4.83e-18   6.34e-19   1.31e-01    SRAMNSA_1  BLN_S<6>  BLN_S<6>  
49                       4.83e-18   6.34e-19   1.31e-01    SRAMNSA_1  BLN_S<5>  BLN_S<5>  
50                       4.83e-18   6.34e-19   1.31e-01    SRAMNSA_1  BLN_S<4>  BLN_S<4>  
51                       2.41e-16   2.92e-19   1.21e-03    SRAMNSA_1  BL<3>  BL<3>  
52                       3.36e-16   6.34e-19   1.89e-03    SRAMNSA_1  BLN<3>  BLN<3>  
53                       2.41e-16   2.92e-19   1.21e-03    SRAMNSA_1  BL<2>  BL<2>  
54                       3.36e-16   6.34e-19   1.89e-03    SRAMNSA_1  BLN<2>  BLN<2>  
55                       2.41e-16   2.92e-19   1.21e-03    SRAMNSA_1  BL<1>  BL<1>  
56                       3.36e-16   6.34e-19   1.89e-03    SRAMNSA_1  BLN<1>  BLN<1>  
57                       2.41e-16   2.92e-19   1.21e-03    SRAMNSA_1  BL<0>  BL<0>  
58                       3.32e-16   6.34e-19   1.91e-03    SRAMNSA_1  BLN<0>  BLN<0>  
59                       4.90e-18   7.62e-19   1.55e-01    SRAMNSA_1  BL_S<3>  BL_S<3>  
60                       4.90e-18   7.62e-19   1.55e-01    SRAMNSA_1  BL_S<2>  BL_S<2>  
61                       4.90e-18   7.62e-19   1.55e-01    SRAMNSA_1  BL_S<1>  BL_S<1>  
62                       4.90e-18   7.62e-19   1.55e-01    SRAMNSA_1  BL_S<0>  BL_S<0>  
63                       4.83e-18   6.34e-19   1.31e-01    SRAMNSA_1  BLN_S<3>  BLN_S<3>  
