//Loading PDBs.
//PDB loading of cell: SRAM_16B_2
//Making the stats.
GID                       totalC    totalCC    ratioCC     Cell    Layout   Source
1                        4.17e-18   7.05e-19   1.69e-01    SRAM_16B_2  BL<15>  BL<15>  
2                        5.52e-18   7.05e-19   1.28e-01    SRAM_16B_2  BLN<15>  BLN<15>  
3                        4.20e-18   7.05e-19   1.68e-01    SRAM_16B_2  BL<14>  BL<14>  
4                        5.52e-18   7.05e-19   1.28e-01    SRAM_16B_2  BLN<14>  BLN<14>  
5                        4.20e-18   7.05e-19   1.68e-01    SRAM_16B_2  BL<13>  BL<13>  
6                        5.52e-18   7.05e-19   1.28e-01    SRAM_16B_2  BLN<13>  BLN<13>  
7                        4.20e-18   7.05e-19   1.68e-01    SRAM_16B_2  BL<12>  BL<12>  
8                        5.52e-18   7.05e-19   1.28e-01    SRAM_16B_2  BLN<12>  BLN<12>  
9                        4.20e-18   7.05e-19   1.68e-01    SRAM_16B_2  BL<11>  BL<11>  
10                       5.52e-18   7.05e-19   1.28e-01    SRAM_16B_2  BLN<11>  BLN<11>  
11                       4.20e-18   7.05e-19   1.68e-01    SRAM_16B_2  BL<10>  BL<10>  
12                       5.52e-18   7.05e-19   1.28e-01    SRAM_16B_2  BLN<10>  BLN<10>  
13                       4.20e-18   7.05e-19   1.68e-01    SRAM_16B_2  BL<9>  BL<9>  
14                       5.52e-18   7.05e-19   1.28e-01    SRAM_16B_2  BLN<9>  BLN<9>  
15                       4.20e-18   7.05e-19   1.68e-01    SRAM_16B_2  BL<8>  BL<8>  
16                       5.52e-18   7.05e-19   1.28e-01    SRAM_16B_2  BLN<8>  BLN<8>  
17                       4.20e-18   7.05e-19   1.68e-01    SRAM_16B_2  BL<7>  BL<7>  
18                       5.52e-18   7.05e-19   1.28e-01    SRAM_16B_2  BLN<7>  BLN<7>  
19                       4.20e-18   7.05e-19   1.68e-01    SRAM_16B_2  BL<6>  BL<6>  
20                       5.52e-18   7.05e-19   1.28e-01    SRAM_16B_2  BLN<6>  BLN<6>  
21                       4.20e-18   7.05e-19   1.68e-01    SRAM_16B_2  BL<5>  BL<5>  
22                       5.52e-18   7.05e-19   1.28e-01    SRAM_16B_2  BLN<5>  BLN<5>  
23                       4.20e-18   7.05e-19   1.68e-01    SRAM_16B_2  BL<4>  BL<4>  
24                       5.52e-18   7.05e-19   1.28e-01    SRAM_16B_2  BLN<4>  BLN<4>  
25                       4.20e-18   7.05e-19   1.68e-01    SRAM_16B_2  BL<3>  BL<3>  
26                       5.52e-18   7.05e-19   1.28e-01    SRAM_16B_2  BLN<3>  BLN<3>  
27                       4.20e-18   7.05e-19   1.68e-01    SRAM_16B_2  BL<2>  BL<2>  
28                       5.52e-18   7.05e-19   1.28e-01    SRAM_16B_2  BLN<2>  BLN<2>  
29                       4.20e-18   7.05e-19   1.68e-01    SRAM_16B_2  BL<1>  BL<1>  
30                       5.52e-18   7.05e-19   1.28e-01    SRAM_16B_2  BLN<1>  BLN<1>  
31                       4.20e-18   7.05e-19   1.68e-01    SRAM_16B_2  BL<0>  BL<0>  
32                       5.47e-18   7.05e-19   1.29e-01    SRAM_16B_2  BLN<0>  BLN<0>  
33                       2.15e-16   3.81e-17   1.77e-01    SRAM_16B_2  VSS  VSS  
34                       1.18e-16   1.82e-17   1.54e-01    SRAM_16B_2  VDD  VDD  
35                       2.78e-16   1.54e-17   5.55e-02    SRAM_16B_2  WL0  WL0  
36                       2.76e-16   1.20e-17   4.32e-02    SRAM_16B_2  WL1  WL1  
37                       3.55e-18   0.00e+00   0.00e+00    SRAM_16B_2  X0/X0/X0/X1/11  XI0/NET33  
38                       3.54e-18   0.00e+00   0.00e+00    SRAM_16B_2  X0/X0/X0/X1/12  XI0/NET34  
39                       3.54e-18   0.00e+00   0.00e+00    SRAM_16B_2  X0/X0/X0/X1/13  XI0/NET36  
40                       3.55e-18   0.00e+00   0.00e+00    SRAM_16B_2  X0/X0/X0/X1/14  XI0/NET35  
41                       3.55e-18   0.00e+00   0.00e+00    SRAM_16B_2  X0/X0/X1/X1/11  XI1/NET33  
42                       3.54e-18   0.00e+00   0.00e+00    SRAM_16B_2  X0/X0/X1/X1/12  XI1/NET34  
43                       3.54e-18   0.00e+00   0.00e+00    SRAM_16B_2  X0/X0/X1/X1/13  XI1/NET36  
44                       3.55e-18   0.00e+00   0.00e+00    SRAM_16B_2  X0/X0/X1/X1/14  XI1/NET35  
