//Loading PDBs.
//PDB loading of cell: SRAM_ARRAY_1
//Making the stats.
GID                       totalC    totalCC    ratioCC     Cell    Layout   Source
1                        9.25e-15   8.39e-16   9.07e-02    SRAM_ARRAY_1  VSS  VSS  
2                        2.67e-16   4.71e-18   1.77e-02    SRAM_ARRAY_1  BL<15>  BL<15>  
3                        4.35e-15   2.98e-17   6.85e-03    SRAM_ARRAY_1  VDD  VDD  
4                        3.52e-16   4.77e-18   1.35e-02    SRAM_ARRAY_1  BLN<15>  BLN<15>  
5                        2.69e-16   4.71e-18   1.75e-02    SRAM_ARRAY_1  BL<14>  BL<14>  
6                        3.52e-16   4.77e-18   1.35e-02    SRAM_ARRAY_1  BLN<14>  BLN<14>  
7                        2.69e-16   4.71e-18   1.75e-02    SRAM_ARRAY_1  BL<13>  BL<13>  
8                        3.52e-16   4.77e-18   1.35e-02    SRAM_ARRAY_1  BLN<13>  BLN<13>  
9                        2.69e-16   4.71e-18   1.75e-02    SRAM_ARRAY_1  BL<12>  BL<12>  
10                       3.52e-16   4.77e-18   1.35e-02    SRAM_ARRAY_1  BLN<12>  BLN<12>  
11                       2.69e-16   4.71e-18   1.75e-02    SRAM_ARRAY_1  BL<11>  BL<11>  
12                       3.52e-16   4.77e-18   1.35e-02    SRAM_ARRAY_1  BLN<11>  BLN<11>  
13                       2.69e-16   4.71e-18   1.75e-02    SRAM_ARRAY_1  BL<10>  BL<10>  
14                       3.52e-16   4.77e-18   1.35e-02    SRAM_ARRAY_1  BLN<10>  BLN<10>  
15                       2.69e-16   4.71e-18   1.75e-02    SRAM_ARRAY_1  BL<9>  BL<9>  
16                       3.52e-16   4.77e-18   1.35e-02    SRAM_ARRAY_1  BLN<9>  BLN<9>  
17                       2.69e-16   4.71e-18   1.75e-02    SRAM_ARRAY_1  BL<8>  BL<8>  
18                       3.52e-16   4.77e-18   1.35e-02    SRAM_ARRAY_1  BLN<8>  BLN<8>  
19                       2.69e-16   4.71e-18   1.75e-02    SRAM_ARRAY_1  BL<7>  BL<7>  
20                       3.52e-16   4.77e-18   1.35e-02    SRAM_ARRAY_1  BLN<7>  BLN<7>  
21                       2.69e-16   4.71e-18   1.75e-02    SRAM_ARRAY_1  BL<6>  BL<6>  
22                       3.52e-16   4.77e-18   1.35e-02    SRAM_ARRAY_1  BLN<6>  BLN<6>  
23                       2.69e-16   4.71e-18   1.75e-02    SRAM_ARRAY_1  BL<5>  BL<5>  
24                       3.52e-16   4.77e-18   1.35e-02    SRAM_ARRAY_1  BLN<5>  BLN<5>  
25                       2.69e-16   4.71e-18   1.75e-02    SRAM_ARRAY_1  BL<4>  BL<4>  
26                       3.52e-16   4.77e-18   1.35e-02    SRAM_ARRAY_1  BLN<4>  BLN<4>  
27                       2.69e-16   4.71e-18   1.75e-02    SRAM_ARRAY_1  BL<3>  BL<3>  
28                       3.52e-16   4.77e-18   1.35e-02    SRAM_ARRAY_1  BLN<3>  BLN<3>  
29                       2.69e-16   4.71e-18   1.75e-02    SRAM_ARRAY_1  BL<2>  BL<2>  
30                       3.52e-16   4.77e-18   1.35e-02    SRAM_ARRAY_1  BLN<2>  BLN<2>  
31                       2.69e-16   4.71e-18   1.75e-02    SRAM_ARRAY_1  BL<1>  BL<1>  
32                       3.52e-16   4.77e-18   1.35e-02    SRAM_ARRAY_1  BLN<1>  BLN<1>  
33                       2.69e-16   4.71e-18   1.75e-02    SRAM_ARRAY_1  BL<0>  BL<0>  
34                       3.49e-16   4.77e-18   1.37e-02    SRAM_ARRAY_1  BLN<0>  BLN<0>  
35                       2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<0>  WL<0>  
36                       2.77e-16   4.42e-18   1.59e-02    SRAM_ARRAY_1  WL<1>  WL<1>  
37                       2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<2>  WL<2>  
38                       2.77e-16   3.88e-18   1.40e-02    SRAM_ARRAY_1  WL<3>  WL<3>  
39                       2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<4>  WL<4>  
40                       2.77e-16   3.38e-18   1.22e-02    SRAM_ARRAY_1  WL<5>  WL<5>  
41                       2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<6>  WL<6>  
42                       2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<7>  WL<7>  
43                       2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<8>  WL<8>  
44                       2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<9>  WL<9>  
45                       2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<10>  WL<10>  
46                       2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<11>  WL<11>  
47                       2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<12>  WL<12>  
48                       2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<13>  WL<13>  
49                       2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<14>  WL<14>  
50                       2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<15>  WL<15>  
51                       2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<16>  WL<16>  
52                       2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<17>  WL<17>  
53                       2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<18>  WL<18>  
54                       2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<19>  WL<19>  
55                       2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<20>  WL<20>  
56                       2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<21>  WL<21>  
57                       2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<22>  WL<22>  
58                       2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<23>  WL<23>  
59                       2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<24>  WL<24>  
60                       2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<25>  WL<25>  
61                       2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<26>  WL<26>  
62                       2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<27>  WL<27>  
63                       2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<28>  WL<28>  
64                       2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<29>  WL<29>  
65                       2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<30>  WL<30>  
66                       2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<31>  WL<31>  
67                       2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<32>  WL<32>  
68                       2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<33>  WL<33>  
69                       2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<34>  WL<34>  
70                       2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<35>  WL<35>  
71                       2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<36>  WL<36>  
72                       2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<37>  WL<37>  
73                       2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<38>  WL<38>  
74                       2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<39>  WL<39>  
75                       2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<40>  WL<40>  
76                       2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<41>  WL<41>  
77                       2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<42>  WL<42>  
78                       2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<43>  WL<43>  
79                       2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<44>  WL<44>  
80                       2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<45>  WL<45>  
81                       2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<46>  WL<46>  
82                       2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<47>  WL<47>  
83                       2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<48>  WL<48>  
84                       2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<49>  WL<49>  
85                       2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<50>  WL<50>  
86                       2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<51>  WL<51>  
87                       2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<52>  WL<52>  
88                       2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<53>  WL<53>  
89                       2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<54>  WL<54>  
90                       2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<55>  WL<55>  
91                       2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<56>  WL<56>  
92                       2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<57>  WL<57>  
93                       2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<58>  WL<58>  
94                       2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<59>  WL<59>  
95                       2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<60>  WL<60>  
96                       2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<61>  WL<61>  
97                       2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<62>  WL<62>  
98                       2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<63>  WL<63>  
99                       2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<64>  WL<64>  
100                      2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<65>  WL<65>  
101                      2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<66>  WL<66>  
102                      2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<67>  WL<67>  
103                      2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<68>  WL<68>  
104                      2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<69>  WL<69>  
105                      2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<70>  WL<70>  
106                      2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<71>  WL<71>  
107                      2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<72>  WL<72>  
108                      2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<73>  WL<73>  
109                      2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<74>  WL<74>  
110                      2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<75>  WL<75>  
111                      2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<76>  WL<76>  
112                      2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<77>  WL<77>  
113                      2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<78>  WL<78>  
114                      2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<79>  WL<79>  
115                      2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<80>  WL<80>  
116                      2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<81>  WL<81>  
117                      2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<82>  WL<82>  
118                      2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<83>  WL<83>  
119                      2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<84>  WL<84>  
120                      2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<85>  WL<85>  
121                      2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<86>  WL<86>  
122                      2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<87>  WL<87>  
123                      2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<88>  WL<88>  
124                      2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<89>  WL<89>  
125                      2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<90>  WL<90>  
126                      2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<91>  WL<91>  
127                      2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<92>  WL<92>  
128                      2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<93>  WL<93>  
129                      2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<94>  WL<94>  
130                      2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<95>  WL<95>  
131                      2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<96>  WL<96>  
132                      2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<97>  WL<97>  
133                      2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<98>  WL<98>  
134                      2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<99>  WL<99>  
135                      2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<100>  WL<100>  
136                      2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<101>  WL<101>  
137                      2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<102>  WL<102>  
138                      2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<103>  WL<103>  
139                      2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<104>  WL<104>  
140                      2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<105>  WL<105>  
141                      2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<106>  WL<106>  
142                      2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<107>  WL<107>  
143                      2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<108>  WL<108>  
144                      2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<109>  WL<109>  
145                      2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<110>  WL<110>  
146                      2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<111>  WL<111>  
147                      2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<112>  WL<112>  
148                      2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<113>  WL<113>  
149                      2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<114>  WL<114>  
150                      2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<115>  WL<115>  
151                      2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<116>  WL<116>  
152                      2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<117>  WL<117>  
153                      2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<118>  WL<118>  
154                      2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<119>  WL<119>  
155                      2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<120>  WL<120>  
156                      2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<121>  WL<121>  
157                      2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<122>  WL<122>  
158                      2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<123>  WL<123>  
159                      2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<124>  WL<124>  
160                      2.77e-16   3.31e-18   1.19e-02    SRAM_ARRAY_1  WL<125>  WL<125>  
161                      2.78e-16   6.95e-18   2.50e-02    SRAM_ARRAY_1  WL<126>  WL<126>  
162                      2.76e-16   3.76e-18   1.36e-02    SRAM_ARRAY_1  WL<127>  WL<127>  
163                      3.55e-18   0.00e+00   0.00e+00    SRAM_ARRAY_1  X0/X0/X0/X0/X0/X0/X0/X0/11  XI0/XI0/NET33  
164                      3.54e-18   0.00e+00   0.00e+00    SRAM_ARRAY_1  X0/X0/X0/X0/X0/X0/X0/X0/12  XI0/XI0/NET34  
165                      3.54e-18   0.00e+00   0.00e+00    SRAM_ARRAY_1  X0/X0/X0/X0/X0/X0/X0/X0/13  XI0/XI0/NET36  
166                      3.55e-18   0.00e+00   0.00e+00    SRAM_ARRAY_1  X0/X0/X0/X0/X0/X0/X0/X0/14  XI0/XI0/NET35  
167                      3.55e-18   0.00e+00   0.00e+00    SRAM_ARRAY_1  X0/X0/X0/X0/X0/X0/X0/X1/11  XI0/XI1/NET33  
168                      3.54e-18   0.00e+00   0.00e+00    SRAM_ARRAY_1  X0/X0/X0/X0/X0/X0/X0/X1/12  XI0/XI1/NET34  
169                      3.54e-18   0.00e+00   0.00e+00    SRAM_ARRAY_1  X0/X0/X0/X0/X0/X0/X0/X1/13  XI0/XI1/NET36  
170                      3.55e-18   0.00e+00   0.00e+00    SRAM_ARRAY_1  X0/X0/X0/X0/X0/X0/X0/X1/14  XI0/XI1/NET35  
171                      3.55e-18   0.00e+00   0.00e+00    SRAM_ARRAY_1  X0/X0/X0/X0/X0/X0/X1/X0/11  XI0/XI2/NET33  
172                      3.54e-18   0.00e+00   0.00e+00    SRAM_ARRAY_1  X0/X0/X0/X0/X0/X0/X1/X0/12  XI0/XI2/NET34  
173                      3.54e-18   0.00e+00   0.00e+00    SRAM_ARRAY_1  X0/X0/X0/X0/X0/X0/X1/X0/13  XI0/XI2/NET36  
174                      3.55e-18   0.00e+00   0.00e+00    SRAM_ARRAY_1  X0/X0/X0/X0/X0/X0/X1/X0/14  XI0/XI2/NET35  
175                      3.55e-18   0.00e+00   0.00e+00    SRAM_ARRAY_1  X0/X0/X0/X0/X0/X0/X1/X1/11  XI0/XI3/NET33  
176                      3.54e-18   0.00e+00   0.00e+00    SRAM_ARRAY_1  X0/X0/X0/X0/X0/X0/X1/X1/12  XI0/XI3/NET34  
177                      3.54e-18   0.00e+00   0.00e+00    SRAM_ARRAY_1  X0/X0/X0/X0/X0/X0/X1/X1/13  XI0/XI3/NET36  
178                      3.55e-18   0.00e+00   0.00e+00    SRAM_ARRAY_1  X0/X0/X0/X0/X0/X0/X1/X1/14  XI0/XI3/NET35  
179                      3.55e-18   0.00e+00   0.00e+00    SRAM_ARRAY_1  X0/X0/X0/X0/X0/X1/X0/X0/11  XI0/XI4/NET33  
180                      3.54e-18   0.00e+00   0.00e+00    SRAM_ARRAY_1  X0/X0/X0/X0/X0/X1/X0/X0/12  XI0/XI4/NET34  
181                      3.54e-18   0.00e+00   0.00e+00    SRAM_ARRAY_1  X0/X0/X0/X0/X0/X1/X0/X0/13  XI0/XI4/NET36  
182                      3.55e-18   0.00e+00   0.00e+00    SRAM_ARRAY_1  X0/X0/X0/X0/X0/X1/X0/X0/14  XI0/XI4/NET35  
183                      3.55e-18   0.00e+00   0.00e+00    SRAM_ARRAY_1  X0/X0/X0/X0/X0/X1/X0/X1/11  XI0/XI5/NET33  
184                      3.54e-18   0.00e+00   0.00e+00    SRAM_ARRAY_1  X0/X0/X0/X0/X0/X1/X0/X1/12  XI0/XI5/NET34  
185                      3.54e-18   0.00e+00   0.00e+00    SRAM_ARRAY_1  X0/X0/X0/X0/X0/X1/X0/X1/13  XI0/XI5/NET36  
186                      3.55e-18   0.00e+00   0.00e+00    SRAM_ARRAY_1  X0/X0/X0/X0/X0/X1/X0/X1/14  XI0/XI5/NET35  
187                      3.55e-18   0.00e+00   0.00e+00    SRAM_ARRAY_1  X0/X0/X0/X0/X0/X1/X1/X0/11  XI0/XI6/NET33  
188                      3.54e-18   0.00e+00   0.00e+00    SRAM_ARRAY_1  X0/X0/X0/X0/X0/X1/X1/X0/12  XI0/XI6/NET34  
189                      3.54e-18   0.00e+00   0.00e+00    SRAM_ARRAY_1  X0/X0/X0/X0/X0/X1/X1/X0/13  XI0/XI6/NET36  
190                      3.55e-18   0.00e+00   0.00e+00    SRAM_ARRAY_1  X0/X0/X0/X0/X0/X1/X1/X0/14  XI0/XI6/NET35  
191                      3.55e-18   0.00e+00   0.00e+00    SRAM_ARRAY_1  X0/X0/X0/X0/X0/X1/X1/X1/11  XI0/XI7/NET33  
192                      3.54e-18   0.00e+00   0.00e+00    SRAM_ARRAY_1  X0/X0/X0/X0/X0/X1/X1/X1/12  XI0/XI7/NET34  
193                      3.54e-18   0.00e+00   0.00e+00    SRAM_ARRAY_1  X0/X0/X0/X0/X0/X1/X1/X1/13  XI0/XI7/NET36  
194                      3.55e-18   0.00e+00   0.00e+00    SRAM_ARRAY_1  X0/X0/X0/X0/X0/X1/X1/X1/14  XI0/XI7/NET35  
195                      3.55e-18   0.00e+00   0.00e+00    SRAM_ARRAY_1  X0/X0/X0/X0/X0/X2/X0/X0/11  XI0/XI8/NET33  
196                      3.54e-18   0.00e+00   0.00e+00    SRAM_ARRAY_1  X0/X0/X0/X0/X0/X2/X0/X0/12  XI0/XI8/NET34  
197                      3.54e-18   0.00e+00   0.00e+00    SRAM_ARRAY_1  X0/X0/X0/X0/X0/X2/X0/X0/13  XI0/XI8/NET36  
198                      3.55e-18   0.00e+00   0.00e+00    SRAM_ARRAY_1  X0/X0/X0/X0/X0/X2/X0/X0/14  XI0/XI8/NET35  
199                      3.55e-18   0.00e+00   0.00e+00    SRAM_ARRAY_1  X0/X0/X0/X0/X0/X2/X0/X1/11  XI0/XI9/NET33  
200                      3.54e-18   0.00e+00   0.00e+00    SRAM_ARRAY_1  X0/X0/X0/X0/X0/X2/X0/X1/12  XI0/XI9/NET34  
201                      3.54e-18   0.00e+00   0.00e+00    SRAM_ARRAY_1  X0/X0/X0/X0/X0/X2/X0/X1/13  XI0/XI9/NET36  
202                      3.55e-18   0.00e+00   0.00e+00    SRAM_ARRAY_1  X0/X0/X0/X0/X0/X2/X0/X1/14  XI0/XI9/NET35  
203                      3.55e-18   0.00e+00   0.00e+00    SRAM_ARRAY_1  X0/X0/X0/X0/X0/X2/X1/X0/11  XI0/XI10/NET33  
204                      3.54e-18   0.00e+00   0.00e+00    SRAM_ARRAY_1  X0/X0/X0/X0/X0/X2/X1/X0/12  XI0/XI10/NET34  
205                      3.54e-18   0.00e+00   0.00e+00    SRAM_ARRAY_1  X0/X0/X0/X0/X0/X2/X1/X0/13  XI0/XI10/NET36  
